ionum,name,long,y0,y1,sdate,deaddate,dead,integrated,replaced
1370,CMEA,Council for Mutual Economic Aid (COMECON),1949,1991,1949,1991.0,1,0,0
1380,COLOMBO,Council for Technical Cooperation in South and Southeast Asia (Colombo Plan),1950,2014,1950,,0,0,0
1390,COE,Council of Europe,1949,2014,1949,,0,0,0
1400,CMAEC,Council of Ministers for Asian Economic Cooperation,1968,1971,1968,1971.0,1,0,0
1410,CMHASG,Council of Ministers of Health of the Arab States of the Gulf,1976,2014,1976,,0,0,0
1420,CBSS,Council of the Baltic Sea States (CBSS),1992,2014,1992,,0,0,0
1430,Entente,Council of the Entente/Entente Council,1960,2014,1960,,0,0,0
1440,Danube,Danube Commission,1948,2014,1948,,0,0,0
1450,DLCOEA,Desert Locust Control Organization for East Africa,1962,2014,1962,,0,0,0
1455,D8,Developing 8 Organization for Economic Cooperation (D-8),1997,2014,1997,,0,0,0
1460,DBGLS,Development Bank of the Great Lakes States,1977,2000,1977,2000.0,1,0,0
1470,EACM,East African Common Market (EACM),1967,1977,1967,1977.0,1,0,0
1475,EACSO,East African Common Services Organization,1961,1967,1961,1967.0,1,0,1
1480,EADB,East African Development Bank (EADB),1967,2014,1967,,0,0,0
1486,ECCM,East Caribbean Common Market (ECCM),1968,1981,1968,1981.0,1,1,0
1489,ECCA,Eastern Caribbean Currency Area (ECCA),1979,1983,1979,1983.0,1,0,1
1490,ECCB,Eastern Caribbean Central Bank (ECCB),1983,2014,1983,,0,0,0
1500,ECCAS,Economic Community of Central African States (ECCAS),1981,2014,1981,,0,0,0
1510,CEPGL,Economic Community of the Great Lakes Countries,1976,2014,1976,,0,0,0
1520,ECOWAS,Economic Community of West African States (ECOWAS),1975,2014,1975,,0,0,0
1530,ECO,Economic Cooperation Organization (ECO),1985,2014,1985,,0,0,0
1532,ERIA,Economic Research Institute for ASEAN and East Asia,2008,2014,2008,,0,0,0
1535,EMB,Empire Marketing Board,1926,1933,1926,1933.0,1,0,0
1540,EAPO,Eurasian Patent Organization (EAPO),1994,2014,1994,,0,0,0
1545,EAEC,Eurasian Economic Community,2000,2014,2000,,0,0,0
1550,EAPC,Euro Atlantic Partnership Council (EAPC),1994,2014,1994,,0,0,0
1560,EMPPO,European and Mediterranean Plant Protection Organization,1951,2014,1951,,0,0,0
1563,EURAMET,European Association of National Metrology Institute,2007,2014,2007,,0,0,0
1565,EURATOM,European Atomic Energy Commission (EURATOM),1958,1992,1958,1992.0,1,0,0
1570,EBRD,European Bank for Reconstruction and Development (EBRD),1990,2014,1990,,0,0,0
1580,ECB,European Central Bank (ECB),1998,2014,1998,,0,0,0
1585,ECSC,European Coal and Steel Community,1952,1992,1952,1992.0,1,0,0
1590,EUROMET,European Collaboration on Measurement Standards (EUROMET),1987,2007,1987,2007.0,1,0,1
1600,EUFMD,European Commision for the Control of Foot and Mouth Disease,1954,2014,1954,,0,0,0
1610,ECCD,European Commission for Control of the Danube,1856,1939,1856,1939.0,1,0,0
1620,ECCPIF,European Company for the Chemical Processing of Irradiated Fuels,1957,1984,1957,1984.0,1,0,0
1630,EUROFIMA,European Company for the Financing of Railway Rolling Stock,1956,2014,1956,,0,0,0
1640,ECPTA,European Conference of Postal and Telecommunications Adminstrations,1959,2014,1959,,0,0,0
1645,EFCC,European Food Code Council,1958,1965,1958,1965.0,1,1,0
1650,WCO,European Customs Union Study Group (Customs Cooperation Council) (World Customs,1950,2014,1950,,0,0,0
1653,EEC,European Economic Community/European Community,1958,1992,1958,1992.0,1,0,0
1660,EFILWC,European Foundation for the Improvement of Living and Working,1975,2014,1975,,0,0,0
1670,EFTA,European Free Trade Association,1960,2014,1960,,0,0,0
1675,EIP,European Institute for Peace,2014,2014,2014,,0,0,0
1680,EIPA,European Institute of Public Administration (EIPA),1981,1995,1981,1995.0,1,1,0
1690,EIB,European Investment Bank,1957,2014,1957,,0,0,0
1700,EMBC,European Molecular Biology Conference (EMBC),1969,2014,1969,,0,0,0
1710,EMBL,European Molecular Biology Laboratory (EMBL),1973,2014,1973,,0,0,0
1715,EMI,European Monetary Institute (EMI),1994,1998,1994,1998.0,1,0,1
1720,CERN,European Organization for Nuclear Research,1954,2014,1954,,0,0,0
1730,EUROCONTROL,European Organization for the Safety of Air Navigation/EUROCONTROL,1960,2014,1960,,0,0,0
1740,EPO,European Patent Office (EPO)/E.P. Organization,1977,2014,1977,,0,0,0
1750,EPU,European Payments Union,1950,1958,1950,1958.0,1,0,1
1760,EPFSC,European Postal Financial Services Commission (EFPSC),1992,2006,1992,2006.0,1,0,0
1770,EPA,European Productivity Agency,1953,1961,1953,1961.0,1,0,0
1780,ESO,European Southern Observatory,1962,2014,1962,,0,0,0
1790,ESA,European Space Agency (ESA),1975,2014,1975,,0,0,0
1800,ESRO,European Space Research Organization,1964,1975,1964,1975.0,1,0,1
1810,ELDO,European Space Vehicle Launcher Development Organization,1964,1975,1964,1975.0,1,0,1
1820,ETF,European Training Foundation (ETF),1990,2014,1990,,0,0,0
1830,EU,European Union (EU),1993,2014,1993,,0,0,0
1840,FAO,FAO,1945,2014,1945,,0,0,0
1850,FEC,Far East Commission,1945,1951,1945,1951.0,1,0,0
1860,FDIPLAC,Fund for the Development of the Indigenous Peoples of Latin America,1992,2014,1992,,0,0,0
1870,OMVG,Gambia River Basin Development Organization,1978,2014,1978,,0,0,0
1880,GATT,General Agreement on Tariffs and Trade (GATT),1948,1995,1948,1995.0,1,0,1
1890,SIECA,General Treaty on Central American Economic Integration/Permanent Secretariate o,1960,2014,1960,,0,0,0
1900,GEF,Global Environment Facility (GEF),1991,2014,1991,,0,0,0
1905,GHSI,Global Health Security Initiative (GHSI),2001,2014,2001,,0,0,0
1910,G15,Group of Fifteen (G-15),1989,2014,1989,,0,0,0
1920,GLACSEC,Group of Latin American and Caribbean Sugar Exporting Countries,1974,2001,1974,2001.0,1,0,0
1930,SCHENGEN,Group of Schengen,1985,1999,1985,1999.0,1,1,0
1940,VALDIVIA,Group of Temperate Southern Hemisphere Countries on the Environment/VALDIVA Grou,1995,2002,1995,2002.0,1,0,0
1950,G3,Group of Three (G-3),1995,2006,1995,2006.0,1,0,0
1960,GEO,Group on Earth Observations (GEO),2005,2014,2005,,0,0,0
1970,GBACT,Group on the Balkan Agreement on Cooperation on Tourism,1971,1988,1971,1988.0,1,0,0
1980,GCRSNC,Guidance Committee for Road Safety in the Nordic Countries,1993,1999,1993,1999.0,1,0,0
1990,GCC,Gulf Cooperation Council (GCC),1981,2014,1981,,0,0,0
2000,GOIC,Gulf Organization for Industrial Consulting (GOIC),1976,2014,1976,,0,0,0
2010,HCPIL,Hague Conference on Private International Law,1955,2014,1955,,0,0,0
2015,SEGIB,Ibero-American General Secretariat (SEGIB),2003,2014,2003,,0,0,0
2020,IABE,Ibero-American Office of Education/Organization of Ibero-American States for Edu,1949,2014,1949,,0,0,0
2030,IDC,Imperial Defense Committee,1920,1946,1920,1946.0,1,0,0
2033,IIE,Imperial Institute of Entomology,1920,1933,1920,1933.0,1,1,0
2036,IMI,Imperial Mycological Institute,1920,1933,1920,1933.0,1,1,0
2040,CWGC,Imperial War Graves Commission/Commonwealth War Graves Commission,1917,2014,1917,,0,0,0
2050,IOCom,Indian Ocean Commission (IOC),1982,2014,1982,,0,0,0
2055,IORARC,Indian Ocean Rim Association for Regional Cooperation/Ocean Rim Initiative/Indian Ocean Rim Assocation,1997,2014,1997,,0,0,0
2060,APFIC,Indo-Pacific Fisheries Council/Asia Pacific Fishery Commission (APFIC),1948,2014,1948,,0,0,0
2070,INCAP,Institute of Nutrition for Central America and Panama (INCAP),1949,2014,1949,,0,0,0
2080,IACS,Inter-African Committee on Statistics,1954,1965,1954,1965.0,1,0,0
2090,IAPhy,Inter-African Phytosanitary Convention,1954,1960,1954,1960.0,1,0,0
2100,IARA,Inter-Allied Reparation Agency,1946,1955,1946,1955.0,1,0,0
2105,IARHC,Inter-Allied Rhineland High Commission,1919,1934,1919,1934.0,1,0,0
2110,IACI,Inter-American Children's Institute,1927,2014,1927,,0,0,0
2120,IACB,Inter-American Coffee Board,1940,1948,1940,1948.0,1,0,1
2130,IACW,Inter-American Commission of Women,1928,1965,1928,1965.0,1,1,0
2140,IACSS,Inter-American Conference on Social Security,1942,2014,1942,,0,0,0
2150,IADefB,Inter-American Defense Board,1942,2014,1942,,0,0,0
2160,IADB,Inter-American Development Bank,1959,2014,1959,,0,0,0
2170,IAFC,Inter-American Federation of Cotton,1959,1966,1959,1966.0,1,0,0
2175,IAHC,Inter-American High Commission,1916,1931,1916,1931.0,1,0,0
2180,IAII,Inter-American Indian Institute,1940,1953,1940,1953.0,1,1,0
2190,IAIAS,Inter-American Institute of Agricultural Science/Inter-American Institute for Co,1942,2014,1942,,0,0,0
2200,IAIC,Inter-American Investment Corporation,1986,2014,1986,,0,0,0
2203,IARadiO,Inter-American Radio Office,1937,1963,1937,1963.0,1,1,0
2206,IATB,Inter-American Trademark Bureau,1917,1944,1917,1944.0,1,0,0
2210,IATTC,Inter-American Tropical Tuna Commission,1950,2014,1950,,0,0,0
2220,IAIGC,Inter-Arab Investment Guarantee Corporation (IAIGC),1974,2014,1974,,0,0,0
2230,IGAD,Intergovernmental Authority on Development (IGAD)/Inter-Governmental Authority o,1986,2014,1986,,0,0,0
2240,IBI,Intergovernmental Bureau for Informatics (IBI),1974,1991,1974,1991.0,1,0,0
2250,IOMig,Intergovernmental Committee for European Migration/International Organization fo,1951,2014,1951,,0,0,0
2260,ICRPBC,Intergovernmental Committee of the River Plate Basin Countries,1969,2014,1969,,0,0,0
2270,IGCC,Intergovernmental Copyright Committee,1952,1971,1952,1971.0,1,1,0
2280,ICCEC,Intergovernmental Council of Copper Exporting Countries,1968,1997,1968,1997.0,1,0,0
2285,G24,Intergovernmental Group of Twenty-Four on International Monetary,1972,2014,1972,,0,0,0
2290,IOcC,Intergovernmental Oceanographic Commission,1960,2014,1960,,0,0,0
2300,INFOFISH,Intergovernmental Organization for Marketing Information and Technical Advisory,1981,2014,1981,,0,0,0
2310,ITVRC,Intergovernmental TV & Radio Corporation (ITRC MIR),1992,2014,1992,,0,0,0
2315,IUIC,Intergovernmental University of Cooperation (IUIC),2001,2014,2001,,0,0,0
2320,ICCILMB,Interim Committee for Coordination of Investigations of the Lower Mekong Basin (,1978,1995,1978,1995.0,1,0,1
2325,IALong,International Advisory Committee for Long Distance Telephony,1924,1932,1924,1932.0,1,0,0
2330,IAMLO,International African Migratory Locust Organization,1952,1985,1952,1985.0,1,0,0
2340,IATSJ,International Arbitration Tribunal at San Jose,1907,1916,1907,1916.0,1,0,0
2345,IABath,International Association for Public Baths and Cleanliness,1912,1923,1912,1923.0,1,0,0
2350,IAS,International Association of Seismology,1903,1922,1903,1922.0,1,0,0
2360,IASAJ,International Association of Supreme Administrative Jurisdictions,1983,2014,1983,,0,0,0
2370,IAEA,International Atomic Energy Agency,1957,2014,1957,,0,0,0
2380,IARuhr,International Authority for the Ruhr,1949,1953,1949,1953.0,1,0,0
2390,IBEC,International Bank for Economic Cooperation,1963,2014,1963,,0,0,0
2400,IBRD,International Bank for Reconstruction and Development (World Bank),1945,2014,1945,,0,0,0
2410,IBA,International Bauxite Association (IBA),1974,1997,1974,1997.0,1,0,0
2430,IBIER,International Bureau for Information and Enquiries regarding Relief to Foreigner,1907,1921,1907,1921.0,1,0,0
2440,IBPMP,International Bureau for the Protection of the Moselle against Pollution,1963,2004,1963,2004.0,1,0,0
2450,ICPRP,International Bureau for the Protection of the Rhine against Pollution/Convention on the Protection of the Rhine,1963,2014,1963,,0,0,0
2455,IBCS,International Bureau of Commercial Statistics,1913,1935,1913,1935.0,1,0,0
2460,IBE,International Bureau of Education,1929,1969,1929,1969.0,1,1,0
2470,BIPM,International Bureau of Weights and Measures (BIPM),1875,2014,1875,,0,0,0
2480,ICCROM,International Center for the Study of the Preservation and the Restoration of Cu,1958,2014,1958,,0,0,0
2490,ICAmO,International Central American Office,1907,1914,1907,1914.0,1,0,0
2492,ICFAM,Intergovernmental Institution for the use of Micro-Algae Spirulina Against Malnutrition/ Intergovernmental Institution for the use of Micro-Algae Against Malnutrition,2001,2014,2001,,0,0,0
2495,IChemO,International Chemistry Office,1927,1950,1927,1950.0,1,0,0
2500,ICAO,International Civil Aviation Organization (ICAO)/International Commission for Ai,1919,2014,1919,,0,0,0
2510,ICivDO,International Civil Defence Organization (ICDO),1972,2014,1972,,0,0,0
2520,ICCO,International Cocoa Organization (ICCO),1973,2014,1973,,0,0,0
2530,ICfO,International Coffee Organization,1963,2014,1963,,0,0,0
2540,ICDR,International Commission for the Decennial Revision of the Nomenclature of the C,1900,1938,1900,1938.0,1,0,0
2550,ICHRB,International Commission for the Hydrology of the Rhine Basin,1970,2014,1970,,0,0,0
2560,ICNC,International Commission for the Navigation of the Congo,1885,1914,1885,1914.0,1,0,0
2570,ICNWAF,International Commission for the Northwest Atlantic Fisheries,1949,1978,1949,1978.0,1,0,1
2572,NAFO,Northwest Atlantic Fisheries Organization,1979,2014,1979,,0,0,0
2575,IComO,International Commission for the Oder,1919,1936,1919,1936.0,1,0,0
2580,ICSE,International Commission for the Scientific Exploration of the Mediterranean Sea (CIESM)/Mediterranean Science Commission,1910,2014,1910,,0,0,0
2590,ICSEAF,International Commission for the Southeast Atlantic Fisheries (ICSEAF),1969,1990,1969,1990.0,1,0,0
2600,ICAI,International Commission of Agricultural Industries/International Commission for Agricultural and Food Industries,1935,2014,1935,,0,0,0
2610,ICCSLT,International Commission of the Cape Spartel Light in Tangier,1865,1958,1865,1958.0,1,0,0
2620,ICCS,International Commission on Civil Status,1948,2014,1948,,0,0,0
2630,ICTM,International Commission on the Teaching of Mathematics,1908,1939,1908,1939.0,1,0,0
2640,ICMMP,International Committee of Military Medicine and Pharmacy/International Committe,1921,2014,1921,,0,0,0
2650,ICPTU,International Conference for Promoting Technical Unification on the Railways/Int,1882,1938,1882,1938.0,1,0,0
2660,ICSG,International Copper Study Group,1992,2014,1992,,0,0,0
2670,ICRI,International Coral Reef Initiative (ICRI),1994,2014,1994,,0,0,0
2680,ICAC,International Cotton Advisory Committee,1939,2014,1939,,0,0,0
2690,ICES,International Council for the Exploration of the Sea,1902,2014,1902,,0,0,0
2700,INTERPOL,International Criminal Police Commission/International Criminal Police Organizat,1923,2014,1923,,0,0,0
2702,ICC,International Criminal Court (ICC),2002,2014,2002,,0,0,0
2705,IEC,International Elbe Commission,1919,1936,1919,1936.0,1,0,0
2710,IEA,International Energy Agency (IEA),1974,2014,1974,,0,0,0
